Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,사업장명,인허가일자,영업상태명,폐업일자,지번주소,도로명주소,좌표정보(X),좌표정보(Y),소재지면적,가격대,위도,경도,지하철역과거리,주변저가형카페수,주변중저가형카페수,주변고가형카페수,주변평균월세,주변유동인구수
257,260.0,260.0,260.0,이디야 중랑교차로점,2017-06-19,영업/정상,,서울특별시 중랑구 면목동 183-37,"서울특별시 중랑구 동일로 683, 1층 (면목동)",206985.468298911,454351.475934752,70.80,중저가,37.59144824127274,127.07699193200094,0.94620771463124,1.0,0.0,0.0,46.333333333333336,6443356.0
258,261.0,261.0,261.0,이디야 커피점,20160115,영업/정상,,서울특별시 중랑구 상봉동 500번지 ,"서울특별시 중랑구 망우로 353 (상봉동, 이노시티AB-124호)",207923.745922676,455090.718335439,93.41,중저가,37.598101159737865,127.08762368028492,0.2043829353824462,1.0,0.0,3.0,46.333333333333336,7481339.0
259,262.0,262.0,262.0,이디야커피,20141226,영업/정상,,서울특별시 중랑구 묵동 189-5번지 먹골역내 지하2층 ,"서울특별시 중랑구 동일로 지하 901, 지2층 (묵동)",206792.580647654,456506.247206059,57.00,중저가,37.610863781394166,127.07482772293152,0.2545833413579627,3.0,1.0,0.0,46.333333333333336,8936797.0
260,263.0,263.0,263.0,이디야 상봉중앙점,20140930,영업/정상,,서울특별시 중랑구 상봉동 101번지 이지팰리스 103호,"서울특별시 중랑구 망우로 316, 1층 103호 (상봉동)",207660.883688474,454911.110252938,55.76,중저가,37.59648512851474,127.08464524774276,0.1259005016175452,3.0,1.0,4.0,46.333333333333336,6645186.0
261,264.0,264.0,264.0,이디야 망우중앙점,2015-02-26,영업/정상,,서울특별시 중랑구 망우동 495,"서울특별시 중랑구 용마산로115길 109, S2002호 (망우동, 한일써너스빌리젠시)",208267.592391698,455042.983909137,56.18,중저가,37.59766808100586,127.0915167551704,0.49372355887263,1.0,0.0,2.0,46.333333333333336,7481339.0
262,265.0,265.0,265.0,이디야,2014-11-19,폐업,2023-12-07,서울특별시 중랑구 망우동 458-3 지상1층,"서울특별시 중랑구 봉우재로 240, 1층 (망우동)",208706.754264585,454777.272396908,58.90,중저가,37.59527004824778,127.0964865219188,0.9361711987461654,1.0,0.0,0.0,46.333333333333336,213096.0
263,266.0,266.0,266.0,이디야,20160603,영업/정상,,서울특별시 중랑구 망우동 202-9 ,"서울특별시 중랑구 망우로 460, 1층 (망우동)",209039.984324905,455312.042928242,145.00,중저가,37.60008504784998,127.10026632376956,1.307433155471476,1.0,0.0,1.0,46.333333333333336,2150382.0
264,267.0,267.0,267.0,이디야 중화동점,20200403,영업/정상,,서울특별시 중랑구 중화동 301-1 ,"서울특별시 중랑구 동일로129길 1, 1층 (중화동)",206953.303286626,455231.444124678,79.28,중저가,37.59937684866404,127.0766360131307,0.3360045591150892,3.0,0.0,1.0,46.333333333333336,198326.0
265,268.0,268.0,268.0,이디야,20200730,영업/정상,,서울특별시 중랑구 면목동 1546 행복오피스텔 ,"서울특별시 중랑구 겸재로 240, 102호 (면목동, 행복오피스텔)",208317.942417,454457.958933,119.60,중저가,37.59239665555576,127.0920803083272,0.5461283929699499,0.0,0.0,0.0,33.922222222222224,2549303.0
266,269.0,269.0,269.0,이디야 중랑경찰서점,2021-07-15,폐업,2023-10-04,서울특별시 중랑구 신내동 813,"서울특별시 중랑구 신내역로3길 40-11, A동 1층 (신내동)",209178.827973436,457253.36836438,129.00,중저가,37.61757464876755,127.101862757405,0.5583899163286044,0.0,0.0,0.0,46.333333333333336,182956.0
267,270.0,270.0,270.0,이디야 화랑대역점,2021-02-25,영업/정상,,서울특별시 중랑구 묵동 2 104호,"서울특별시 중랑구 신내로25가길 2, 1층 104호 (묵동)",207357.595177869,457462.766652935,105.78,중저가,37.6194775265831,127.08123639746836,0.2880816570850851,0.0,1.0,0.0,33.922222222222224,6092773.0
268,271.0,271.0,271.0,이디야커피 사가정아이파크점,20201019,영업/정상,,서울특별시 중랑구 면목동 156-5 ,"서울특별시 중랑구 동일로92길 57, 1층 (면목동)",207278.258826248,453470.751633822,85.66,중저가,37.58351080525412,127.08029843607818,0.6979942079325434,0.0,0.0,0.0,46.333333333333336,4135255.0
269,272.0,272.0,272.0,이디야커피 양원역점,20210616,영업/정상,,서울특별시 중랑구 망우동 256-12 ,"서울특별시 중랑구 양원역로14가길 24, 1층 101호 (망우동)",209374.185193593,456134.309087462,59.16,중저가,37.60749019268793,127.1040612630687,0.5805887325505397,0.0,0.0,1.0,46.333333333333336,5247717.0
270,273.0,273.0,273.0,이디야(커피전문점),20121107,폐업,20220110,서울특별시 중랑구 면목동 372-20 ,"서울특별시 중랑구 면목로 247, 1층 (면목동)",207461.714560571,452544.850851529,41.93,중저가,37.57516711719733,127.0823660836739,0.4323301931996673,2.0,0.0,1.0,36.16666666666666,3310861.0
271,274.0,274.0,274.0,이디야커피(상봉역점),20110304,폐업,20220207,"서울특별시 중랑구 상봉동 115-11 1,2층 ","서울특별시 중랑구 망우로 288 (상봉동,1,2층)",207388.537653781,454836.937418686,157.62,중저가,37.59581905087886,127.08156061115098,0.4075676999299305,4.0,2.0,4.0,40.75555555555556,2198055.0
272,275.0,275.0,275.0,이디야(서일대점),20100216,폐업,20150629,서울특별시 중랑구 면목동 52-11번지 ,서울특별시 중랑구 용마산로86길 9-38 (면목동),208478.169268401,453927.028109113,55.77,중저가,37.5876116051592,127.09388843170964,0.6027106966883042,2.0,0.0,1.0,36.16666666666666,2079159.0
273,276.0,276.0,276.0,이디야,20111012,영업/정상,,서울특별시 성북구 하월곡동 79-19번지 동민빌딩1층 ,"서울특별시 성북구 오패산로 99 (하월곡동,동민빌딩1층)",203032.321045745,456492.313932503,80.21,중저가,37.61075805716192,127.03224035214872,0.5094236250450336,2.0,0.0,0.0,52.366666666666674,11753765.0
274,277.0,277.0,277.0,EDIYA COFFEE 이디야커피 석관동점,20190528,영업/정상,,서울특별시 성북구 석관동 46-50번지 래미안아트리치 ,"서울특별시 성북구 돌곶이로8길 22, 301동 1층 109,110호 (석관동, 래미안아트리치)",205585.778224201,455938.641077764,66.6,중저가,37.60575778766872,127.06115564729812,0.6726872838251229,0.0,1.0,0.0,50.4,275679.0
275,278.0,278.0,278.0,이디야 동덕여대점,20071029,영업/정상,,서울특별시 성북구 하월곡동 16-13 ,"서울특별시 성북구 화랑로 99, 1층 (하월곡동)",203700.163051298,455683.541784464,66.1,중저가,37.60346876875306,127.03980005829564,0.2384230486513422,1.0,0.0,4.0,36.16666666666666,1626537.0
276,279.0,279.0,279.0,이디야,20111128,영업/정상,,서울특별시 성북구 종암동 87-4번지 ,서울특별시 성북구 종암로 105 (종암동),202925.57087047,455253.523708402,48.76,중저가,37.59959711277113,127.03102649994774,0.902453644683918,1.0,0.0,2.0,36.16666666666666,2969523.0
277,280.0,280.0,280.0,이디야커피 한성대역점,2010-12-07,폐업,2024-04-02,서울특별시 성북구 동소문동1가 90 지상1-2층,"서울특별시 성북구 동소문로 19, 지상1-2층 (동소문동1가)",200645.918769282,454135.508838328,57.0,중저가,37.58952823782196,127.00521099925174,0.1753708684969781,3.0,1.0,5.0,36.16666666666666,2642581.0
278,282.0,282.0,282.0,이디야커피(하월곡동점),20150803,영업/정상,,서울특별시 성북구 하월곡동 67-37번지 ,서울특별시 성북구 오패산로 16 (하월곡동),203250.198669162,455701.490029192,51.2,중저가,37.60363214677572,127.03470450953355,0.6272214468485873,1.0,0.0,0.0,52.366666666666674,4882019.0
279,283.0,283.0,283.0,이디야(EDIYA),2013-02-05,폐업,2023-03-24,서울특별시 성북구 석관동 246-10,"서울특별시 성북구 돌곶이로22길 3, 1층 (석관동)",205060.731432101,456432.184537298,52.9,중저가,37.61020752429728,127.05521293669705,0.1095290887591824,2.0,1.0,0.0,50.4,3542681.0
280,284.0,284.0,284.0,이디야커피장위동점,20140123,영업/정상,,서울특별시 성북구 장위동 316-3번지 ,"서울특별시 성북구 월계로40길 7, 1층 104호 (장위동, 센트럴타운)",204208.631200867,457844.348010616,53.2,중저가,37.62293507459278,127.0455704459814,1.628685659850974,1.0,0.0,0.0,52.366666666666674,55614.0
281,285.0,285.0,285.0,이디야고대점,2017-12-29,영업/정상,,서울특별시 성북구 안암동5가 102-12 1층,"서울특별시 성북구 고려대로24길 35, 1층 (안암동5가)",202540.997524952,453598.21410848,73.52,중저가,37.584684144976144,127.02666602481658,0.2851538169468152,2.0,0.0,7.0,52.366666666666674,3695572.0
282,286.0,286.0,286.0,이디야 고대개운점,20130828,영업/정상,,서울특별시 성북구 안암동5가 15-57 대흥빌딩 1층 ,"서울특별시 성북구 개운사길 30 (안암동5가, 대흥빌딩 1층)",202530.245612376,453931.918583743,99.0,중저가,37.58769080244982,127.02654541798849,0.3060447903946979,1.0,1.0,11.0,36.16666666666666,3695572.0
283,287.0,287.0,287.0,이디야커피동소문동점,20140115,영업/정상,,서울특별시 성북구 동소문동4가 272번지 ,"서울특별시 성북구 동소문로13길 5 (동소문동4가, 272)",201067.523284949,454414.94348423,54.94,중저가,37.59204553878112,127.00998495730796,0.5800538926458476,1.0,0.0,0.0,36.16666666666666,5992134.0
284,288.0,288.0,288.0,이디야커피돈암아리랑점,2017-01-19,폐업,2024-06-27,서울특별시 성북구 돈암동 535-1 돈암코오롱하늘채 상가 112호,"서울특별시 성북구 아리랑로 75, 112호 (돈암동, 돈암코오롱하늘채 상가)",201051.072165281,455205.325182072,79.98,중저가,37.5991667695382,127.0097997492514,0.9130490792957258,1.0,0.0,0.0,36.16666666666666,1061823.0
