Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,사업장명,인허가일자,영업상태명,폐업일자,지번주소,도로명주소,좌표정보(X),좌표정보(Y),소재지면적,가격대,위도,경도,지하철역과거리,주변저가형카페수,주변중저가형카페수,주변고가형카페수,주변평균월세,주변유동인구수
330,335.0,335.0,335.0,335.0,컴포즈커피 서울강서초점,2024-06-14,영업/정상,,서울특별시 양천구 신월동 518-9,"서울특별시 양천구 오목로 34, 1층 (신월동)",185918.565133002,446615.225511698,50.1,저가,37.521663011386856,126.83860721886798,1.3757171243862574,0.0,1.0,0.0,28.6,4043917.0
331,336.0,336.0,336.0,336.0,빽다방 강북중학교점,2024-04-30,영업/정상,,서울특별시 강북구 수유동 166-73,"서울특별시 강북구 한천로150길 70, 1층 (수유동)",202257.690616819,460203.592827483,98.87,저가,37.64419807582584,127.02347831232832,0.5913403132066933,0.0,0.0,0.0,91.44444444444444,2285392.0
332,337.0,337.0,337.0,337.0,메가엠지씨커피 구로전화국점,2024-04-11,영업/정상,,서울특별시 금천구 독산동 950-2 영남빌딩,"서울특별시 금천구 남부순환로 1384, 영남빌딩 1층 일부호 (독산동)",191481.675294989,441945.691459493,72.0,저가,37.479659125627855,126.90159221683226,0.6177850632930328,0.0,1.0,0.0,55.45555555555556,7122028.0
333,338.0,338.0,338.0,338.0,컴포즈 고척시장점,2017-03-09,영업/정상,,서울특별시 구로구 고척동 46-65 1층,"서울특별시 구로구 경인로47길 118, 1층 (고척동)",187882.922594798,444637.561733776,40.0,저가,37.503872390377374,126.8608609850308,1.057771696173499,1.0,1.0,0.0,69.35555555555555,2622793.0
334,339.0,339.0,339.0,339.0,메가엠지씨커피 건대화양제일시장점,2024-03-20,영업/정상,,서울특별시 광진구 화양동 12-37,"서울특별시 광진구 능동로13길 40, 1층 (화양동)",206144.014853158,449053.517805101,76.62,저가,37.54372022877586,127.06742051112468,0.358770443384643,0.0,0.0,3.0,70.85555555555555,513451.0
335,340.0,340.0,340.0,340.0,컴포즈커피 강서등촌중앙점,2024-03-14,영업/정상,,서울특별시 강서구 등촌동 641-11 청림오피스텔 1층 105호,"서울특별시 강서구 공항대로45길 44, 청림오피스텔 1층 105호 (등촌동)",187197.468812217,450519.999405521,45.79,저가,37.556863338084696,126.8530059058154,1.6914291661261074,1.0,2.0,3.0,55.45555555555556,267190.0
336,341.0,341.0,341.0,341.0,메가엠지씨커피 역삼와이즈플레이스점,2024-05-02,영업/정상,,서울특별시 강남구 역삼동 837-13 강남역 와이즈 플레이스,"서울특별시 강남구 강남대로66길 14, 강남역 와이즈 플레이스 지상1층 103호 (역삼동)",202746.040061587,443281.216979897,35.6,저가,37.49172817287662,127.02894978617192,0.5962902016010387,2.0,3.0,5.0,46.333333333333336,1878489.0
337,342.0,342.0,342.0,342.0,메가엠지씨커피 선사사거리점,2024-05-02,영업/정상,,서울특별시 강동구 암사동 463,"서울특별시 강동구 올림픽로 816, 103호 (암사동)",211338.526335209,450163.935830643,60.0,저가,37.55367610583959,127.12621579957484,0.3303983619013606,0.0,0.0,1.0,36.55555555555556,842225.0
338,343.0,343.0,343.0,343.0,메가엠지씨커피 개포아이파크점,2024-02-08,영업/정상,,서울특별시 강남구 개포동 158 일영빌딩,"서울특별시 강남구 선릉로 28, 일영빌딩 지상1층 103호 (개포동)",205356.070386897,442238.420572967,33.0,저가,37.48232131344546,127.05845552162012,0.9844752112706036,0.0,0.0,2.0,42.04444444444444,1830583.0
339,344.0,344.0,344.0,344.0,메가엠지씨커피 난곡사거리점,2024-03-22,영업/정상,,서울특별시 관악구 신림동 529-8 세인빌딩,"서울특별시 관악구 난곡로 320, 세인빌딩 1층 (신림동)",192378.212661068,442276.910093221,83.7,저가,37.4826512963037,126.91172482437996,0.5554029707060172,1.0,0.0,1.0,69.35555555555555,498862.0
